epoch,lr,train_mse,train_ade,val_mse,val_ade,acc@2,acc@5,acc@10
1,0.00010000,2605.778134,70.756395,2609.015442,70.820628,0.000000,0.000000,0.000000
2,0.00010000,2530.038050,69.680721,2499.133946,69.245607,0.000000,0.000000,0.000000
3,0.00010000,2389.516140,67.620753,2345.705693,66.991781,0.000000,0.000000,0.000000
4,0.00010000,2252.711138,65.571035,2222.709294,65.135752,0.000000,0.000000,0.055804
5,0.00010000,2142.743405,63.878518,2125.196215,63.631207,0.000000,0.000000,0.111607
6,0.00010000,2058.912865,62.562511,2051.470886,62.463394,0.000000,0.000000,0.111607
7,0.00010000,1990.091032,61.451929,1985.391584,61.398694,0.000000,0.000000,0.167411
8,0.00010000,1926.909795,60.416550,1922.640520,60.364426,0.000000,0.000000,0.167411
9,0.00010000,1861.915862,59.329235,1858.647204,59.300573,0.000000,0.000000,0.223214
10,0.00010000,1800.554031,58.286751,1794.397744,58.210785,0.000000,0.000000,0.279018
11,0.00010000,1740.667178,57.253651,1738.467255,57.244470,0.000000,0.000000,0.279018
12,0.00010000,1686.205958,56.296781,1682.832485,56.258815,0.000000,0.000000,0.279018
13,0.00010000,1621.743027,55.135674,1612.070801,54.997600,0.000000,0.000000,0.279018
14,0.00010000,1560.190623,54.016925,1558.272191,54.015205,0.000000,0.000000,0.279018
15,0.00010000,1509.501442,53.071952,1507.659310,53.074068,0.000000,0.000000,0.279018
16,0.00010000,1459.438764,52.125551,1458.922381,52.152238,0.000000,0.000000,0.334821
17,0.00010000,1412.152158,51.213510,1411.679487,51.242989,0.000000,0.000000,0.334821
18,0.00010000,1365.341778,50.294170,1365.755223,50.343204,0.000000,0.000000,0.334821
19,0.00010000,1320.786656,49.402688,1321.050868,49.452696,0.000000,0.000000,0.334821
20,0.00010000,1277.123621,48.516828,1277.474928,48.569351,0.000000,0.000000,0.334821
21,0.00010000,1234.504654,47.633247,1234.982821,47.692558,0.000000,0.000000,0.279018
22,0.00010000,1192.824680,46.756022,1193.506210,46.820813,0.000000,0.000000,0.279018
23,0.00010000,1152.575362,45.891719,1153.025301,45.954388,0.000000,0.000000,0.279018
24,0.00010000,1112.714753,45.023933,1113.512394,45.092515,0.000000,0.000000,0.334821
25,0.00010000,1074.249798,44.166238,1074.961166,44.236843,0.000000,0.000000,0.279018
