epoch,train_loss,train_mse,train_ade,val_mse,val_ade,val_acc@0.5,val_acc@1.0,val_acc@2.0,val_acc@4.0
1,0.8132642225839606,8.605557441711426,3.6554129123687744,7.576455593109131,3.4167680740356445,0.0221826933138014,0.07010568169927801,0.25478706707125665,0.647692790624673
2,0.4306990226999444,5.478941917419434,2.509553909301758,3.8535244464874268,2.092912435531616,0.15904572564612326,0.27393533535628334,0.567228209689233,0.895992466255101
3,0.35778116082670675,4.975468635559082,2.2890677452087402,3.0038959980010986,1.7506071329116821,0.19116877681280736,0.3272993617243905,0.7112064455373025,0.935649262320812
4,0.32614776173337773,4.54860258102417,2.06734037399292,2.254387617111206,1.3788883686065674,0.2485089463220676,0.5006801297478288,0.8389662027833003,0.952286282306163
5,0.3041770902290866,4.324138641357422,1.9539706707000732,1.9688615798950195,1.218640923500061,0.2946531338286073,0.572355341634404,0.8883540860102542,0.9562624254473161
6,0.2898941377353905,4.133976936340332,1.8659454584121704,1.839004635810852,1.1235870122909546,0.3448780998221199,0.6303233232185832,0.9050957413414251,0.9599246625510097
7,0.2747885320910174,3.878192663192749,1.7630342245101929,1.7629011869430542,1.0640708208084106,0.37940776394265985,0.6614000209270692,0.9146175578110286,0.9627498168881448
8,0.25734879091307894,3.6330251693725586,1.6775600910186768,1.7082092761993408,1.036655306816101,0.3756408914931464,0.6635973631892853,0.9217327613267762,0.9686093962540546
9,0.24024806167948898,3.4316141605377197,1.5867072343826294,1.669281244277954,1.0254217386245728,0.3670607931359213,0.6640159045725647,0.9276969760385058,0.9728994454326672
10,0.22645375443928278,3.2918455600738525,1.4632750749588013,1.6310548782348633,0.9770147800445557,0.3756408914931464,0.71267134037878,0.9349168149000733,0.974678246311604
11,0.21698371713879097,3.220799207687378,1.4050636291503906,1.6230050325393677,0.9658214449882507,0.395416971853092,0.7043005127131945,0.9366956157790102,0.9747828816574239
12,0.21232440541336192,3.187925338745117,1.3744616508483887,1.6220250129699707,0.9649040102958679,0.38003557601757876,0.7257507586062572,0.9381605106204876,0.9744689756199644
13,0.20948939121777738,3.15194034576416,1.3496438264846802,1.6003942489624023,0.9403252601623535,0.403473893481218,0.727006382756095,0.9397300408077849,0.9744689756199644
14,0.20774369045573088,3.1160972118377686,1.3331971168518066,1.5944337844848633,0.93178391456604,0.40640368316417286,0.7368421052631579,0.9398346761536047,0.9737365281992257
15,0.20490677258120246,3.081989288330078,1.3541209697723389,1.6162899732589722,0.9728483557701111,0.3784660458302815,0.7232395103065815,0.9364863450873705,0.9732133514701267
16,0.20254331048744828,3.0351362228393555,1.346112847328186,1.5931036472320557,0.9517931342124939,0.42324997384116353,0.704614418750654,0.9371141571622894,0.9739457988908653
17,0.1984489255061197,2.9742441177368164,1.3137578964233398,1.571533441543579,0.936206579208374,0.39353353562833526,0.7526420424819504,0.9372187925081092,0.9734226221617662
18,0.19476843250924675,2.9129371643066406,1.3078978061676025,1.5513145923614502,0.9335697293281555,0.40755467196819084,0.7378884587213561,0.9393114994245056,0.9739457988908653
19,0.19188000758488974,2.8714678287506104,1.2950423955917358,1.521502137184143,0.9138961434364319,0.4271214816364968,0.7510725122946531,0.9408810296118029,0.9740504342366851
20,0.18873746189015422,2.839110851287842,1.2863316535949707,1.5192687511444092,0.9122694134712219,0.3949984304698127,0.7644658365595899,0.9409856649576227,0.9738411635450455
21,0.1864979517326426,2.7986583709716797,1.2833929061889648,1.4918787479400635,0.9027499556541443,0.43486449722716336,0.7524327717903108,0.9424505597991001,0.9737365281992257
22,0.18448523798985267,2.770242214202881,1.2859443426132202,1.4849555492401123,0.9091430902481079,0.44145652401381186,0.740818248404311,0.9426598304907398,0.9736318928534059
23,0.18233175805552088,2.731428623199463,1.2454057931900024,1.4622591733932495,0.8723991513252258,0.42691221094485715,0.7788008789369049,0.9441247253322173,0.9734226221617662
24,0.18080043399808418,2.703561782836914,1.2525020837783813,1.4384698867797852,0.872217059135437,0.4661504656272889,0.7718949461127969,0.9439154546405776,0.9736318928534059
25,0.17863555026439884,2.676922082901001,1.2318042516708374,1.4159700870513916,0.849448561668396,0.4818457675002616,0.7946008161556974,0.9454849848278749,0.9737365281992257
26,0.1771000274526539,2.6462385654449463,1.216658115386963,1.413832664489746,0.836074709892273,0.47954378989222557,0.7980537825677514,0.9459035262111541,0.9735272575075861
27,0.17522047567575133,2.6208832263946533,1.2058666944503784,1.3927451372146606,0.8269270062446594,0.48697289944543265,0.8003557601757874,0.9482055038191901,0.9735272575075861
28,0.17418937236811985,2.596855640411377,1.196723222732544,1.380445957183838,0.8129917979240417,0.5061211677304593,0.808621952495553,0.9479962331275504,0.9733179868159464
29,0.1726772998695943,2.577378988265991,1.1803922653198242,1.3585147857666016,0.7946127653121948,0.5253740713613059,0.8197132991524537,0.9494611279690279,0.9732133514701267
30,0.17120067193288707,2.556097984313965,1.1811764240264893,1.357312560081482,0.7949696183204651,0.5295594851940986,0.8177252275818772,0.947682327090091,0.973004080778487
31,0.17024851987017922,2.5662178993225098,1.212141752243042,1.3523205518722534,0.8346144556999207,0.5002615883645496,0.8153186146280214,0.9487286805482892,0.9737365281992257
32,0.1690287369104167,2.5227270126342773,1.1562325954437256,1.3368438482284546,0.7766029238700867,0.5466150465627289,0.834466882913048,0.9498796693523072,0.973004080778487
33,0.1680425185691658,2.501312017440796,1.1346393823623657,1.3129708766937256,0.7515168786048889,0.5680652924557915,0.8450350528408497,0.9505074814272261,0.9733179868159464
34,0.16718180270040806,2.4921457767486572,1.1557210683822632,1.3091421127319336,0.7786553502082825,0.5464057758710893,0.8364549544836246,0.9500889400439468,0.9735272575075861
35,0.16607552425778327,2.4726760387420654,1.1318349838256836,1.2933433055877686,0.7542837262153625,0.5784241916919536,0.8477555718321649,0.9510306581563253,0.9734226221617662
36,0.16474021997173033,2.454720973968506,1.129154086112976,1.2930727005004883,0.7459021806716919,0.5700533640263681,0.8392801088207597,0.9510306581563253,0.9737365281992257
37,0.1639996615437726,2.441631317138672,1.1104825735092163,1.2802778482437134,0.7206727862358093,0.6008161556973945,0.8523595270482369,0.9515538348854243,0.9734226221617662
38,0.16356014590061718,2.426645517349243,1.1014769077301025,1.275309443473816,0.7211408615112305,0.5973631892853406,0.8524641623940568,0.9517631055770639,0.9732133514701267
39,0.16283303491808288,2.415236234664917,1.1017216444015503,1.26717209815979,0.7123315930366516,0.609814795437899,0.8556032227686513,0.9518677409228837,0.9732133514701267
40,0.16182421351694942,2.4001195430755615,1.090901255607605,1.2630000114440918,0.7164272665977478,0.6040598514178089,0.8548707753479126,0.9526001883436225,0.9735272575075861
41,0.16057861158948633,2.386404275894165,1.0873193740844727,1.2566157579421997,0.7068237066268921,0.6127445851208538,0.8582191064141467,0.951135293502145,0.9735272575075861
42,0.16000397929653007,2.3758389949798584,1.0942591428756714,1.2495568990707397,0.7150660157203674,0.601757873809773,0.854556869310453,0.9518677409228837,0.9735272575075861
43,0.1589234330835034,2.3605844974517822,1.071126103401184,1.2353124618530273,0.694817066192627,0.6371246206968714,0.8661713926964528,0.9531233650727216,0.9735272575075861
44,0.1584049873610041,2.3501710891723633,1.0636004209518433,1.2349098920822144,0.6881691217422485,0.623522025740295,0.8676362875379303,0.9527048236894423,0.9733179868159464
45,0.15757429292101172,2.3394129276275635,1.0891294479370117,1.2379868030548096,0.7191978693008423,0.6026995919221513,0.8461860416448677,0.9518677409228837,0.9740504342366851
46,0.1568248442823614,2.326636791229248,1.0718159675598145,1.228944182395935,0.705843985080719,0.6169299989536465,0.8618813435178403,0.9517631055770639,0.9740504342366851
47,0.15592304024085477,2.317192792892456,1.067981243133545,1.231046438217163,0.7021594643592834,0.6128492204666737,0.860939625405462,0.9516584702312442,0.9739457988908653
48,0.15600309880515237,2.3028624057769775,1.0513778924942017,1.2134584188461304,0.6882131099700928,0.630427958564403,0.869519723762687,0.9530187297269017,0.9738411635450455
49,0.15523812541765952,2.2910377979278564,1.057687759399414,1.2163097858428955,0.693251371383667,0.6211154127864392,0.8595793659098043,0.9523909176519828,0.9742597049283248
50,0.15386133711432937,2.2811238765716553,1.0404534339904785,1.197035551071167,0.6675489544868469,0.6618185623103484,0.8724495134456419,0.9538558124934603,0.9742597049283248
51,0.15307859327662643,2.2705078125,1.0497914552688599,1.2031267881393433,0.684364914894104,0.629904781835304,0.8617767081720205,0.9530187297269017,0.9745736109657842
52,0.1523903384248712,2.259665012359619,1.0421696901321411,1.2030539512634277,0.681360125541687,0.6314743120226012,0.864915768546615,0.9526001883436225,0.9745736109657842
