epoch,lr,train_mse,train_ade,val_mse,val_ade,acc@2,acc@5,acc@10
41,0.00500000,0.062987,0.296142,0.072490,0.356653,100.000000,100.000000,100.000000
42,0.00500000,0.065317,0.322018,0.077979,0.361490,100.000000,100.000000,100.000000
43,0.00500000,0.073029,0.309220,0.219832,0.626748,99.832589,100.000000,100.000000
44,0.00500000,0.097672,0.382832,0.031179,0.213002,100.000000,100.000000,100.000000
45,0.00500000,0.041872,0.245790,0.047531,0.273078,100.000000,100.000000,100.000000
46,0.00500000,0.069347,0.311132,0.043611,0.242469,100.000000,100.000000,100.000000
47,0.00500000,0.062075,0.304088,0.049416,0.283873,100.000000,100.000000,100.000000
48,0.00500000,0.091102,0.378624,0.125988,0.481381,100.000000,100.000000,100.000000
49,0.00500000,0.070973,0.322885,0.054133,0.296561,100.000000,100.000000,100.000000
50,0.00500000,0.055183,0.269088,0.020783,0.163655,100.000000,100.000000,100.000000
51,0.00500000,0.096458,0.360470,0.043065,0.258553,100.000000,100.000000,100.000000
52,0.00500000,0.055126,0.286076,0.055856,0.297232,100.000000,100.000000,100.000000
53,0.00500000,0.045809,0.253720,0.056820,0.313703,100.000000,100.000000,100.000000
54,0.00500000,0.151748,0.418255,0.083008,0.356017,99.720982,100.000000,100.000000
55,0.00500000,0.079119,0.325134,0.040976,0.243271,99.944196,100.000000,100.000000
56,0.00500000,0.051372,0.276607,0.138955,0.490117,99.944196,100.000000,100.000000
57,0.00500000,0.070140,0.323743,0.128517,0.484594,100.000000,100.000000,100.000000
58,0.00500000,0.049146,0.266676,0.059077,0.276128,100.000000,100.000000,100.000000
59,0.00250000,0.047608,0.254943,0.053144,0.298968,100.000000,100.000000,100.000000
60,0.00250000,0.028595,0.195677,0.020043,0.163177,100.000000,100.000000,100.000000
61,0.00250000,0.029380,0.186066,0.023673,0.167090,100.000000,100.000000,100.000000
62,0.00250000,0.025315,0.180954,0.023323,0.180629,100.000000,100.000000,100.000000
63,0.00250000,0.037101,0.218421,0.040872,0.256332,100.000000,100.000000,100.000000
64,0.00250000,0.024968,0.186632,0.053344,0.303072,100.000000,100.000000,100.000000
65,0.00250000,0.035583,0.206717,0.018847,0.151116,100.000000,100.000000,100.000000
66,0.00250000,0.024087,0.179433,0.034450,0.229285,100.000000,100.000000,100.000000
67,0.00250000,0.032642,0.215140,0.030288,0.208690,100.000000,100.000000,100.000000
68,0.00250000,0.027022,0.192624,0.018386,0.153191,100.000000,100.000000,100.000000
69,0.00250000,0.026148,0.189503,0.025616,0.200687,100.000000,100.000000,100.000000
70,0.00250000,0.032366,0.209037,0.017919,0.136472,100.000000,100.000000,100.000000
71,0.00250000,0.029841,0.196963,0.024580,0.176077,100.000000,100.000000,100.000000
72,0.00250000,0.029842,0.201234,0.015782,0.134729,100.000000,100.000000,100.000000
73,0.00250000,0.032874,0.218753,0.029919,0.215511,100.000000,100.000000,100.000000
74,0.00250000,0.027419,0.191405,0.035448,0.239736,100.000000,100.000000,100.000000
75,0.00250000,0.020979,0.166899,0.017207,0.138387,100.000000,100.000000,100.000000
76,0.00250000,0.023301,0.176980,0.013460,0.121199,100.000000,100.000000,100.000000
77,0.00250000,0.030167,0.204321,0.032793,0.228745,100.000000,100.000000,100.000000
78,0.00250000,0.029970,0.202705,0.021809,0.165103,100.000000,100.000000,100.000000
79,0.00250000,0.024366,0.178738,0.020882,0.174623,100.000000,100.000000,100.000000
80,0.00250000,0.021843,0.170396,0.050803,0.295972,100.000000,100.000000,100.000000
81,0.00250000,0.030738,0.208239,0.020868,0.154182,100.000000,100.000000,100.000000
82,0.00250000,0.028563,0.197150,0.026345,0.198513,100.000000,100.000000,100.000000
83,0.00250000,0.029821,0.204041,0.065963,0.338926,100.000000,100.000000,100.000000
84,0.00250000,0.024104,0.178852,0.012776,0.111475,100.000000,100.000000,100.000000
85,0.00250000,0.024899,0.186188,0.018505,0.157302,100.000000,100.000000,100.000000
86,0.00250000,0.023310,0.176380,0.027324,0.194848,100.000000,100.000000,100.000000
87,0.00250000,0.026555,0.186679,0.055022,0.306974,100.000000,100.000000,100.000000
88,0.00250000,0.028165,0.196776,0.023191,0.184642,100.000000,100.000000,100.000000
89,0.00250000,0.023458,0.176404,0.029536,0.213570,100.000000,100.000000,100.000000
90,0.00250000,0.033949,0.224373,0.062663,0.331248,100.000000,100.000000,100.000000
91,0.00250000,0.025804,0.189834,0.022324,0.182192,100.000000,100.000000,100.000000
92,0.00250000,0.019796,0.159216,0.018235,0.154662,100.000000,100.000000,100.000000
93,0.00125000,0.023953,0.178310,0.014908,0.135766,100.000000,100.000000,100.000000
94,0.00125000,0.015149,0.129203,0.012030,0.110477,100.000000,100.000000,100.000000
95,0.00125000,0.015989,0.136142,0.013251,0.118262,100.000000,100.000000,100.000000
96,0.00125000,0.014373,0.123955,0.013862,0.123128,100.000000,100.000000,100.000000
97,0.00125000,0.014318,0.126566,0.015043,0.135231,100.000000,100.000000,100.000000
98,0.00125000,0.015316,0.134587,0.014113,0.124012,100.000000,100.000000,100.000000
99,0.00125000,0.016771,0.139585,0.013818,0.129393,100.000000,100.000000,100.000000
100,0.00125000,0.014526,0.128411,0.011699,0.107491,100.000000,100.000000,100.000000
