epoch,lr,train_mse,train_ade,val_mse,val_ade,acc@2,acc@5,acc@10
1,0.01000000,917.164268,36.884592,176.300718,16.780489,1.227679,6.138393,22.358631
2,0.01000000,100.244133,11.123616,29.823552,5.225213,39.415923,65.066964,82.496280
3,0.01000000,14.833086,3.096516,5.651736,1.819823,80.803571,92.001488,97.488839
4,0.01000000,5.462945,1.711783,2.977758,1.431191,90.997024,96.372768,99.218750
5,0.01000000,2.866982,1.084226,1.378926,0.963525,95.572917,98.325893,99.665179
6,0.01000000,1.609056,0.909935,0.756353,0.680916,97.042411,99.051339,99.776786
7,0.01000000,1.191486,0.906320,0.600138,0.666114,97.656250,99.218750,99.776786
8,0.01000000,0.851702,0.806605,0.556915,0.811684,97.879464,99.609375,99.832589
9,0.01000000,0.708502,0.820444,0.278526,0.450900,98.604911,99.776786,99.888393
10,0.01000000,0.420916,0.603608,0.372221,0.682377,97.600446,99.832589,100.000000
11,0.01000000,0.401815,0.652263,0.320842,0.678310,98.939732,99.832589,100.000000
12,0.01000000,0.331277,0.609669,0.246013,0.569513,98.828125,99.832589,100.000000
13,0.01000000,0.240778,0.517812,0.276743,0.645829,99.497768,100.000000,100.000000
14,0.01000000,0.452253,0.785596,0.240487,0.629837,99.330357,100.000000,100.000000
15,0.01000000,0.238938,0.552558,0.382490,0.833059,99.553571,100.000000,100.000000
16,0.01000000,0.322197,0.595734,0.334344,0.697049,98.772321,99.832589,100.000000
17,0.01000000,0.300960,0.612808,0.321113,0.750737,99.441964,100.000000,100.000000
18,0.01000000,0.222535,0.534112,0.139621,0.410605,99.218750,100.000000,100.000000
19,0.01000000,0.178844,0.489998,0.129974,0.471900,99.776786,100.000000,100.000000
20,0.01000000,0.231361,0.554899,0.101643,0.358941,99.497768,100.000000,100.000000
21,0.01000000,0.175307,0.477853,0.104598,0.402325,99.720982,100.000000,100.000000
22,0.01000000,0.156603,0.466521,0.109747,0.383400,99.665179,100.000000,100.000000
23,0.01000000,0.258888,0.636039,0.229461,0.644788,99.888393,100.000000,100.000000
24,0.01000000,0.277936,0.645941,0.542621,0.985937,99.218750,100.000000,100.000000
25,0.01000000,0.214414,0.561138,0.246506,0.636542,99.553571,100.000000,100.000000
26,0.01000000,0.254523,0.594907,0.344640,0.784538,99.888393,100.000000,100.000000
27,0.01000000,0.214834,0.566266,0.353436,0.804737,99.832589,100.000000,100.000000
28,0.01000000,0.199021,0.553159,0.178330,0.566485,99.888393,100.000000,100.000000
29,0.00500000,0.208444,0.562554,0.300758,0.663807,98.660714,100.000000,100.000000
30,0.00500000,0.094109,0.358595,0.043174,0.232525,99.944196,100.000000,100.000000
31,0.00500000,0.049971,0.248803,0.044582,0.257267,99.944196,100.000000,100.000000
32,0.00500000,0.066630,0.300420,0.123126,0.458221,99.888393,100.000000,100.000000
33,0.00500000,0.075369,0.309964,0.053752,0.249329,99.888393,100.000000,100.000000
34,0.00500000,0.078382,0.329775,0.042201,0.234811,99.944196,100.000000,100.000000
35,0.00500000,0.043119,0.246750,0.059493,0.306281,99.944196,100.000000,100.000000
36,0.00500000,0.077912,0.339945,0.032959,0.215695,100.000000,100.000000,100.000000
37,0.00500000,0.064951,0.304386,0.038847,0.222632,100.000000,100.000000,100.000000
38,0.00500000,0.106903,0.404381,0.133969,0.489693,99.944196,100.000000,100.000000
39,0.00500000,0.066909,0.318636,0.100244,0.411914,100.000000,100.000000,100.000000
40,0.00500000,0.054022,0.279805,0.042381,0.245745,99.832589,100.000000,100.000000
