epoch,lr,train_mse,train_ade,val_mse,val_ade,acc@2,acc@5,acc@10
65,0.00100000,0.180031,0.322644,0.153244,0.409768,99.218750,99.832589,100.000000
66,0.00100000,0.170808,0.337888,0.091895,0.263087,99.441964,99.832589,100.000000
67,0.00100000,0.159813,0.326769,0.092693,0.291797,99.441964,99.832589,100.000000
68,0.00100000,0.150622,0.328148,0.077374,0.240407,99.497768,99.888393,100.000000
69,0.00100000,0.134427,0.309823,0.078800,0.256908,99.441964,100.000000,100.000000
70,0.00100000,0.128026,0.320634,0.099040,0.371710,99.553571,100.000000,100.000000
71,0.00100000,0.121182,0.314958,0.062050,0.246085,99.609375,100.000000,100.000000
72,0.00100000,0.105989,0.295357,0.054719,0.224347,99.609375,100.000000,100.000000
73,0.00100000,0.106915,0.293025,0.048641,0.211727,99.609375,100.000000,100.000000
74,0.00100000,0.111325,0.322651,0.052607,0.236089,99.609375,100.000000,100.000000
75,0.00100000,0.084556,0.268961,0.067400,0.301097,99.776786,100.000000,100.000000
76,0.00100000,0.085237,0.288139,0.035769,0.198435,99.776786,100.000000,100.000000
77,0.00100000,0.079918,0.278556,0.080897,0.348908,99.665179,100.000000,100.000000
78,0.00100000,0.081322,0.291929,0.045095,0.220479,99.776786,100.000000,100.000000
79,0.00100000,0.061944,0.248549,0.038714,0.202347,100.000000,100.000000,100.000000
80,0.00100000,0.075398,0.288990,0.047144,0.255327,100.000000,100.000000,100.000000
81,0.00100000,0.064679,0.259781,0.045108,0.252329,100.000000,100.000000,100.000000
82,0.00100000,0.068039,0.281196,0.044874,0.243106,100.000000,100.000000,100.000000
83,0.00100000,0.068868,0.285022,0.035406,0.211441,100.000000,100.000000,100.000000
84,0.00100000,0.053982,0.244951,0.026504,0.165348,100.000000,100.000000,100.000000
85,0.00100000,0.059844,0.267384,0.031031,0.183887,100.000000,100.000000,100.000000
86,0.00100000,0.050018,0.238596,0.035352,0.226907,100.000000,100.000000,100.000000
87,0.00100000,0.054316,0.253791,0.057251,0.299267,100.000000,100.000000,100.000000
88,0.00100000,0.053093,0.254438,0.049292,0.283122,100.000000,100.000000,100.000000
89,0.00100000,0.066361,0.289480,0.049729,0.263000,100.000000,100.000000,100.000000
90,0.00100000,0.045952,0.234555,0.049233,0.270049,100.000000,100.000000,100.000000
91,0.00100000,0.053000,0.263162,0.033068,0.219998,100.000000,100.000000,100.000000
92,0.00100000,0.051005,0.243708,0.050075,0.285166,100.000000,100.000000,100.000000
93,0.00050000,0.047738,0.248553,0.034101,0.218945,100.000000,100.000000,100.000000
94,0.00050000,0.029646,0.181808,0.022342,0.173748,100.000000,100.000000,100.000000
95,0.00050000,0.026925,0.176439,0.022013,0.167230,100.000000,100.000000,100.000000
96,0.00050000,0.025396,0.170495,0.019840,0.152713,100.000000,100.000000,100.000000
97,0.00050000,0.023801,0.162951,0.018889,0.155009,100.000000,100.000000,100.000000
98,0.00050000,0.028109,0.180151,0.029681,0.200146,100.000000,100.000000,100.000000
99,0.00050000,0.025243,0.170530,0.032305,0.214467,100.000000,100.000000,100.000000
100,0.00050000,0.024284,0.167693,0.030302,0.218173,100.000000,100.000000,100.000000
