epoch,train_mse,train_ade,train_acc@0.5,train_acc@1.0,train_acc@2.0,train_acc@4.0,val_mse,val_ade,val_acc@0.5,val_acc@1.0,val_acc@2.0,val_acc@4.0
1,55.08023187913717,9.882447891610216,0.0006434253626579317,0.0021057557323350493,0.008364529716296346,0.05108407425319808,38.71088363840651,8.219164607738668,0.0009417181123783614,0.004708590561891807,0.020089986397405044,0.08391754734749399
2,31.165857737232827,7.2011479677638555,0.0018717828731867104,0.008501013882389642,0.042037123696556926,0.1909803462891288,19.942603345669202,5.701790706749876,0.004603955216071989,0.015904572564612324,0.07826723867322381,0.29496703986606676
3,17.524337960896116,5.290725665166103,0.007662611137689173,0.0325222274239434,0.11460770550499913,0.3547613476883173,12.949513830025476,4.50438434783043,0.018520456210107776,0.0606885005754944,0.1651145757036727,0.4410379826305326
4,12.703464816130188,4.454945414695924,0.015676181564681934,0.052507409144026164,0.16890890656451393,0.466814849472812,9.737693632747932,3.8520251783826205,0.010882075965261065,0.06916396358689965,0.22831432457884274,0.5570785811735557
5,10.319275915669197,3.9477239799395383,0.02431367961374595,0.0754757448112773,0.22432147871079414,0.5522539385617234,7.9418771846955245,3.4131334281259593,0.041749502982107355,0.11509888040179973,0.2910955320707335,0.6405775871252969
6,8.893515410428485,3.6103571228853832,0.041276711904324824,0.10390344720012479,0.2695172360122455,0.6070035876024348,6.675941800976369,3.068672622037231,0.08015067489798054,0.13675839698650205,0.35555090509574133,0.7092183740057056
7,7.932896747062515,3.360018816776719,0.05597800655298329,0.12006707222427114,0.3151029480394308,0.6526867883139589,5.817104419529831,2.827103926295502,0.0833943706183949,0.1504656272888982,0.4053573297203972,0.7626870357960328
8,7.206092625916831,3.1491102806734528,0.06539541412963638,0.13977928560054576,0.36051318047106534,0.6887771018375902,5.038980840351886,2.570698039332381,0.1009731087161243,0.18101914826828502,0.4700219734514671,0.8060060688656494
9,6.619862707147284,2.9586593723207866,0.0744813601668698,0.17076119171105983,0.4015754172608961,0.7187841210233646,4.423470976313525,2.3533094137598307,0.10390289839907921,0.23919640054615024,0.5210840221990648,0.834257612483352
10,6.159674197309866,2.7970522821572468,0.08670644205853266,0.20831383558809805,0.44363203872999896,0.7461394478333496,3.958406465727377,2.1839163575048186,0.12315580202992571,0.2794810086929194,0.5647169614534842,0.8571727531929452
11,5.780668164839184,2.6611041977706407,0.1013297457378715,0.2421814069335499,0.4782210263516449,0.7702971455404156,3.5531912969597417,2.015506386569794,0.1485821910661879,0.3297059747070913,0.6089777127227936,0.8769488335279437
12,5.457760911262309,2.5350436745558675,0.1200280767407735,0.2762244579582277,0.5074871315113413,0.7912182187331186,3.228086033438219,1.8743683265020648,0.17997279481827258,0.37825677516125006,0.6488437794739075,0.8963063724858997
13,5.173105495058975,2.422309563509891,0.14106613633283455,0.30634846358287354,0.53423802841195,0.8074598347056657,2.953789046909116,1.7421565473460123,0.216071989146769,0.4218897143618774,0.683478078921557,0.913989745904502
14,4.9291129301907475,2.3241669932350395,0.1617337388862892,0.3361020121572914,0.5569723911747287,0.821732179057931,2.7401434831119325,1.635662774779226,0.23501098674015605,0.4588259914237996,0.7069163963727226,0.9275923408361313
15,4.716062830346476,2.236960452500306,0.17988613321087213,0.3608446420215255,0.5768990796602678,0.8329433785494916,2.5683878906304285,1.56641107796999,0.241498378174748,0.480276237376891,0.7409228838530372,0.9373234279724274
16,4.51982118997498,2.1573409844515865,0.1947824052316948,0.3816487287242222,0.5961628451099672,0.8433161752771762,2.4190465369907597,1.4827283882403755,0.2636810714823127,0.5104112169729986,0.7683373443767517,0.9420320185218457
17,4.339490574619696,2.083358018934922,0.20952269536268878,0.40046404615669834,0.6140227733489932,0.8526555919420364,2.2888910926085604,1.4145279558580317,0.29988490112973293,0.538662760331876,0.7864392594436952,0.946740609071264
18,4.173503866993011,2.0123441342239428,0.22623225706399203,0.41883091560449154,0.6320776789520482,0.8630868819216971,2.1778952214238134,1.3586025518940448,0.31348749608630927,0.5628335252162538,0.7988908655900168,0.9518677410039615
19,4.022523953192804,1.942481262340614,0.24884963343787203,0.4380751832787397,0.6504445484602736,0.871997348335488,2.0780858145331917,1.295450951422659,0.33818143770602305,0.5872135607860347,0.814376896765113,0.9553207074097788
20,3.890880598104831,1.880729717799978,0.2632389642569004,0.45418031506020723,0.6680120105788778,0.8794649820155945,1.9721627520057987,1.1989540004500712,0.39897457362733724,0.6158836455157178,0.8303861046505983,0.957622685011578
21,3.7758717115203186,1.8216363328274132,0.28341912336774183,0.47137732024944773,0.682011386669848,0.8862501949308964,1.9330991554100594,1.2137045038161798,0.35984095427825186,0.6151511981589058,0.8410589099117461,0.9586690384635395
22,3.6740655941443294,1.7709044851205815,0.2961901419528318,0.48578614882998156,0.6947629074841352,0.8917290593919173,1.842460861437563,1.1198085301888092,0.4250287747239984,0.6608768442447457,0.8518363505311874,0.9609710160653386
23,3.582033912619717,1.7251611478688322,0.31013102481506893,0.5003314615039739,0.7071829667479622,0.8963890188552162,1.793472900941455,1.0845870778090887,0.43549230936600897,0.6784555823300016,0.8627184264902117,0.962226640202703
24,3.4953097352147044,1.6823907982743376,0.3208547808500706,0.5142333489222267,0.720070971730086,0.9003275620492939,1.7413189487750653,1.0389596936442531,0.4769279062919466,0.7029402532580757,0.8739144084804588,0.9637961703775267
25,3.4140197708610067,1.6429347835749626,0.32941428796584177,0.5241381999595064,0.7306582436530346,0.9040126345436913,1.7259222408886221,1.047344799132555,0.43381814380794487,0.7038819713517439,0.881343518027429,0.9646332531316117
26,3.3340465524902845,1.6016841146172793,0.34347215723441,0.5362657931958843,0.7410115426796459,0.907366245469034,1.6881950915676787,1.012487927053942,0.4769279063433998,0.7131945171546547,0.888981898266039,0.965261065200294
